date_new;Id_check;ID_client;Count_products;Sum_payment
2016-03-01;2271145;104027;2.034;23.31
2016-03-01;2271145;104027;1.000;31.75
2016-03-01;2271145;104027;1.000;6.80
2016-03-01;2271145;104027;1.000;6.24
2016-03-01;2271145;104027;1.000;36.98
2016-03-01;2271145;104027;1.000;10.93
2016-03-01;2271145;104027;1.000;60.96
2016-03-01;2271145;104027;1.000;72.17
2016-03-01;2271145;104027;1.000;60.96
2015-07-01;1771932;112005;1.000;2.15
2015-07-01;1771932;112005;1.000;8.63
2015-07-01;1771932;112005;1.000;7.57
2015-07-01;1771932;112005;1.000;5.17
2015-07-01;1771932;112005;0.846;4.06
2015-07-01;1771932;112005;1.000;10.97
2015-07-01;1771932;112005;1.000;15.92
2015-07-01;1771932;112005;1.000;1.24
2015-07-01;1771932;112005;1.000;3.50
2015-08-01;1795365;112005;1.032;1.37
2015-08-01;1795365;112005;1.000;4.45
2015-08-01;1795365;112005;1.000;2.76
2015-08-01;1795365;112005;1.000;1.24
2015-08-01;1795365;112005;1.000;3.96
2015-08-01;1795365;112005;1.000;2.62
2015-08-01;1795365;112005;1.000;0.66
2015-08-01;1795365;112005;1.000;0.66
2015-08-01;1795365;112005;0.918;4.41
2015-08-01;1795365;112005;1.000;10.70
2015-08-01;1795365;112005;0.118;1.10
2015-08-01;1795365;112005;1.084;24.92
2015-08-01;1795365;112005;0.320;4.24
2015-08-01;1795365;112005;0.366;6.90
2015-08-01;1795365;112005;2.000;14.88
2015-08-01;1795365;112005;1.000;2.20
2015-08-01;1795365;112005;1.000;3.55
2015-08-01;1795365;112005;1.000;2.02
2015-08-01;1795365;112005;1.000;2.13
2015-08-01;1840418;112005;1.000;2.35
2015-08-01;1840418;112005;1.000;4.74
2015-08-01;1840418;112005;1.000;5.74
2015-08-01;1840418;112005;1.000;4.79
2015-08-01;1840418;112005;1.000;13.04
2015-08-01;1840418;112005;1.000;0.82
2015-08-01;1840418;112005;1.000;6.57
2015-08-01;1840418;112005;1.000;15.92
2015-08-01;1840418;112005;30.000;11.40
2015-08-01;1840418;112005;1.726;3.11
2015-10-01;1951445;112005;1.000;2.04
2015-10-01;1951445;112005;2.000;12.26
2015-10-01;1951445;112005;2.000;1.66
2015-10-01;1951445;112005;1.000;2.61
2015-10-01;1951445;112005;1.000;6.35
2015-10-01;1951445;112005;1.000;1.76
